country_source,country_noc_source,country,country_noc
Algeria,DZA,Algeria,DZA
American Samoa,ASM,American Samoa,ASM
Andorra,AND,Andorra,AND
Angola,AGO,Angola,AGO
Antigua and Barbuda,ATG,Antigua and Barbuda,ATG
Aruba,ABW,Aruba,ABW
"Bahamas, The",BHS,"Bahamas, The",BHS
Bahrain,BHR,Bahrain,BHR
Bangladesh,BGD,Bangladesh,BGD
Barbados,BRB,Barbados,BRB
Belize,BLZ,Belize,BLZ
Benin,BEN,Benin,BEN
Bermuda,BMU,Bermuda,BMU
Bhutan,BTN,Bhutan,BTN
Bolivia,BOL,Bolivia,BOL
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,BIH
Botswana,BWA,Botswana,BWA
British Virgin Islands,VGB,British Virgin Islands,VGB
Bulgaria,BGR,Bulgaria,BGR
Burkina Faso,BFA,Burkina Faso,BFA
Cambodia,KHM,Cambodia,KHM
Cayman Islands,CYM,Cayman Islands,CYM
Central African Republic,CAF,Central African Republic,CAF
Chad,TCD,Chad,TCD
Chile,CHL,Chile,CHL
Comoros,COM,Comoros,COM
"Congo, Dem. Rep.",COD,"Congo, Dem. Rep.",COD
"Congo, Rep.",COG,"Congo, Rep.",COG
Costa Rica,CRI,Costa Rica,CRI
Croatia,HRV,Croatia,HRV
Curacao,CUW,Curacao,CUW
Denmark,DNK,Denmark,DNK
El Salvador,SLV,El Salvador,SLV
Equatorial Guinea,GNQ,Equatorial Guinea,GNQ
Eswatini,SWZ,Eswatini,SWZ
Faroe Islands,FRO,Faroe Islands,FRO
Fiji,FJI,Fiji,FJI
French Polynesia,PYF,French Polynesia,PYF
"Gambia, The",GMB,"Gambia, The",GMB
Germany,DEU,Germany,DEU
Gibraltar,GIB,Gibraltar,GIB
Greece,GRC,Greece,GRC
Greenland,GRL,Greenland,GRL
Grenada,GRD,Grenada,GRD
Guam,GUM,Guam,GUM
Guatemala,GTM,Guatemala,GTM
Guinea,GIN,Guinea,GIN
Guinea-Bissau,GNB,Guinea-Bissau,GNB
Haiti,HTI,Haiti,HTI
Honduras,HND,Honduras,HND
Indonesia,IDN,Indonesia,IDN
"Iran, Islamic Rep.",IRN,"Iran, Islamic Rep.",IRN
Isle of Man,IMN,Isle of Man,IMN
Kiribati,KIR,Kiribati,KIR
Kosovo,XKX,Kosovo,XKX
Kuwait,KWT,Kuwait,KWT
Lao PDR,LAO,Lao PDR,LAO
Latvia,LVA,Latvia,LVA
Lesotho,LSO,Lesotho,LSO
Liberia,LBR,Liberia,LBR
Libya,LBY,Libya,LBY
"Macao SAR, China",MAC,"Macao SAR, China",MAC
Madagascar,MDG,Madagascar,MDG
Malawi,MWI,Malawi,MWI
Malaysia,MYS,Malaysia,MYS
Maldives,MDV,Maldives,MDV
Mali,MLI,Mali,MLI
Malta,MLT,Malta,MLT
Marshall Islands,MHL,Marshall Islands,MHL
Mauritania,MRT,Mauritania,MRT
Mauritius,MUS,Mauritius,MUS
"Micronesia, Fed. Sts.",FSM,"Micronesia, Fed. Sts.",FSM
Monaco,MCO,Monaco,MCO
Mongolia,MNG,Mongolia,MNG
Myanmar,MMR,Myanmar,MMR
Nauru,NRU,Nauru,NRU
Nepal,NPL,Nepal,NPL
Netherlands,NLD,Netherlands,NLD
New Caledonia,NCL,New Caledonia,NCL
Nicaragua,NIC,Nicaragua,NIC
Niger,NER,Niger,NER
Nigeria,NGA,Nigeria,NGA
Northern Mariana Islands,MNP,Northern Mariana Islands,MNP
Oman,OMN,Oman,OMN
Palau,PLW,Palau,PLW
Papua New Guinea,PNG,Papua New Guinea,PNG
Paraguay,PRY,Paraguay,PRY
Philippines,PHL,Philippines,PHL
Portugal,PRT,Portugal,PRT
Puerto Rico (US),PRI,Puerto Rico (US),PRI
Rwanda,RWA,Rwanda,RWA
Samoa,WSM,Samoa,WSM
Sao Tome and Principe,STP,Sao Tome and Principe,STP
Saudi Arabia,SAU,Saudi Arabia,SAU
Seychelles,SYC,Seychelles,SYC
Sierra Leone,SLE,Sierra Leone,SLE
Sint Maarten (Dutch part),SXM,Sint Maarten (Dutch part),SXM
Slovenia,SVN,Slovenia,SVN
Solomon Islands,SLB,Solomon Islands,SLB
"Somalia, Fed. Rep.",SOM,"Somalia, Fed. Rep.",SOM
South Africa,ZAF,South Africa,ZAF
South Sudan,SSD,South Sudan,SSD
Sri Lanka,LKA,Sri Lanka,LKA
St. Kitts and Nevis,KNA,St. Kitts and Nevis,KNA
St. Martin (French part),MAF,St. Martin (French part),MAF
St. Vincent and the Grenadines,VCT,St. Vincent and the Grenadines,VCT
Sudan,SDN,Sudan,SDN
Switzerland,CHE,Switzerland,CHE
Tanzania,TZA,Tanzania,TZA
Timor-Leste,TLS,Timor-Leste,TLS
Togo,TGO,Togo,TGO
Tonga,TON,Tonga,TON
Turks and Caicos Islands,TCA,Turks and Caicos Islands,TCA
Tuvalu,TUV,Tuvalu,TUV
United Arab Emirates,ARE,United Arab Emirates,ARE
Uruguay,URY,Uruguay,URY
Vanuatu,VUT,Vanuatu,VUT
Viet Nam,VNM,Viet Nam,VNM
Virgin Islands (U.S.),VIR,Virgin Islands (U.S.),VIR
West Bank and Gaza,PSE,West Bank and Gaza,PSE
"Yemen, Rep.",YEM,"Yemen, Rep.",YEM
Zambia,ZMB,Zambia,ZMB
Zimbabwe,ZWE,Zimbabwe,ZWE
